region,hemi,p
bankssts,left,0.4279898299453611
transverse temporal,left,0.4279898299453611
superior temporal,left,0.4279898299453611
temporal pole,left,0.4279898299453611
entorhinal,left,0.4279898299453611
middle temporal,left,0.4279898299453611
inferior temporal,left,0.4279898299453611
fusiform,left,0.4279898299453611
bankssts,right,0.4279898299453611
transverse temporal,right,0.4279898299453611
superior temporal,right,0.4279898299453611
temporal pole,right,0.4279898299453611
entorhinal,right,0.4279898299453611
middle temporal,right,0.4279898299453611
inferior temporal,right,0.4279898299453611
fusiform,right,0.4279898299453611
superior frontal,left,0.96084466204892
frontal pole,left,0.96084466204892
superior frontal,right,0.96084466204892
frontal pole,right,0.96084466204892
caudal middle frontal,left,0.8899844965336144
rostral middle frontal,left,0.8899844965336144
caudal middle frontal,right,0.8899844965336144
rostral middle frontal,right,0.8899844965336144
pars opercularis,left,0.8033489067612829
pars orbitalis,left,0.8033489067612829
pars triangularis,left,0.8033489067612829
pars opercularis,right,0.8033489067612829
pars orbitalis,right,0.8033489067612829
pars triangularis,right,0.8033489067612829
medial orbitofrontal,left,0.6500014531730709
medial orbitofrontal,right,0.6500014531730709
lateral orbitofrontal,left,0.717892004247613
lateral orbitofrontal,right,0.717892004247613
precentral,left,0.9774347661413553
paracentral,left,0.9774347661413553
precentral,right,0.9774347661413553
paracentral,right,0.9774347661413553
postcentral,left,0.8627375741200758
postcentral,right,0.8627375741200758
superior parietal,left,0.6715992430082499
precuneus,left,0.6715992430082499
cuneus,left,0.6715992430082499
pericalcarine,left,0.6715992430082499
superior parietal,right,0.6715992430082499
precuneus,right,0.6715992430082499
cuneus,right,0.6715992430082499
pericalcarine,right,0.6715992430082499
inferior parietal,left,0.578502754620375
supramarginal,left,0.578502754620375
inferior parietal,right,0.578502754620375
supramarginal,right,0.578502754620375
lateral occipital,left,0.4279898299453611
lateral occipital,right,0.4279898299453611
lingual,left,0.3925592434752347
lingual,right,0.3925592434752347
insula,left,0.5747126174250513
insula,right,0.5747126174250513
caudal anterior cingulate,left,0.9234890813378721
rostral anterior cingulate,left,0.9234890813378721
caudal anterior cingulate,right,0.9234890813378721
rostral anterior cingulate,right,0.9234890813378721
posterior cingulate,left,0.6597646375822457
isthmus cingulate,left,0.6597646375822457
posterior cingulate,right,0.6597646375822457
isthmus cingulate,right,0.6597646375822457
parahippocampal,left,0.29300345163259667
parahippocampal,right,0.29300345163259667
